rgn2021+scotlandrgn_id,full_time,part_time,unemployed,students,non-working_age
North East,1151418.0,393316.0,363861.0,66899.0,735886.0
North West,3352321.0,1001918.0,960637.0,185693.0,2099558.0
Yorkshire and The Humber,2393922.0,814472.0,694986.0,142213.0,1548533.0
East Midlands,2161105.0,753555.0,585895.0,116410.0,1374300.0
West Midlands,2693906.0,805124.0,693662.0,153604.0,1739391.0
East of England,2890327.0,888898.0,715355.0,120278.0,1853807.0
London,4270445.0,1104422.0,1026682.0,341939.0,2201821.0
South East,4276151.0,1376331.0,937777.0,195558.0,2696690.0
South West,2550102.0,920889.0,596965.0,110483.0,1632819.0
Scotland,2470418.0,790571.0,691702.0,77715.0,1409649.0
Wales,1365189.0,457334.0,387841.0,75166.0,878874.0
TOTAL,29575304.0,9306830.0,7655362.0,1585958.0,18171328.0
